Field Name,Accuracy,Accuracy Percentage,SLA Percentage
FS_PPQ_ID,202/202,100%,100%
FS_RECORD_NBR,202/202,100%,100%
FS_VIS_STATUS,202/202,100%,100%
FS_DIGITAL_FILM_NBR,202/202,100%,100%
FS_LANGUAGE,202/202,100%,100%
FS_IMAGE_TYPE,202/202,100%,100%
EVENT_TYPE,202/202,100%,100%
EVENT_PLACE,202/202,100%,100%
FS_IMAGE_NBR,202/202,100%,100%
EVENT_DAY_ORIG,192/202,96.11%,100%
EVENT_MONTH_ORIG,200/202,98.99%,98%
EVENT_YEAR_ORIG,200/202,97.11%,98%
CP_MAR_DAY_ORIG,197/202,91.85%,98%
CP_MAR_MONTH_ORIG,202/202,100%,98%
CP_MAR_YEAR_ORIG,202/202,100%,98%
PR_NAME_GN_ORIG,196/202,97.66%,98%
PR_NAME_SURN_ORIG,192/202,96.34%,96%
PR_SEX_CODE_ORIG,202/202,100%,93%
PR_AGE_ORIG,186/202,92.15%,98%
PR_BIR_DAY_ORIG,197/202,98.17%,96%
PR_BIR_MONTH_ORIG,191/202,91.39%,98%
PR_BIR_YEAR_ORIG,200/202,98.99%,98%
PR_FTHR_NAME_GN_ORIG,189/202,95.52%,98%
PR_FTHR_NAME_SURN_ORIG,189/202,95.06%,96%
PR_MTHR_NAME_GN_ORIG,196/202,98.13%,93%
PR_MTHR_NAME_SURN_ORIG,192/202,92.35%,96%
SP_NAME_GN_ORIG,194/202,95.24%,93%
SP_NAME_SURN_ORIG,191/202,96.30%,96%
SP_SEX_CODE_ORIG,202/202,100%,93%
SP_AGE_ORIG,189/202,93.43%,98%
SP_BIR_DAY_ORIG,196/202,96.97%,96%
SP_BIR_MONTH_ORIG,196/202,93.45%,98%
SP_BIR_YEAR_ORIG,201/202,99.73%,98%
SP_FTHR_NAME_GN_ORIG,188/202,94.78%,98%
SP_FTHR_NAME_SURN_ORIG,191/202,93.96%,96%
SP_MTHR_NAME_GN_ORIG,195/202,97.39%,93%
SP_MTHR_NAME_SURN_ORIG,191/202,96.30%,96%
